1,7H,ANCUNK,,USA-USA,2023-08,ADD,1,1,0.0,36,37,1.0,0.0,2023-02-26,2023-03-05,2.0
2,7H,TOTAL,,,2023-08,ADD,-,-,-,-,-,1.0,0.0,2023-02-26,2023-03-05,
1,7H,ANCUNK,,USA-USA,2023-09,ADD,0.9,0.9,0.0,32,33,1.0,0.0,2023-02-26,2023-03-05,2.0
2,7H,TOTAL,,,2023-09,ADD,-,-,-,-,-,1.0,0.0,2023-02-26,2023-03-05,
3,7H,,,,2049-12,,,,,,,,,,,
1,9X,HNLLNY,,USA-USA,2023-07,ADD,8.3,8.4,0.1,80,85,5.0,0.1,2023-02-26,2023-03-05,2.0
1,9X,HNLMKK,,USA-USA,2023-07,ADD,11.9,12.9,1,152,186,34.0,0.2,2023-02-26,2023-03-05,2.0
1,9X,LNYMKK,,USA-USA,2023-07,ADD,0.2,0.3,0.1,8,12,4.0,0.5,2023-02-26,2023-03-05,2.0
2,9X,TOTAL,,,2023-07,ADD,-,-,-,-,-,43.0,0.2,2023-02-26,2023-03-05,
1,9X,LNYMKK,,USA-USA,2023-08,NEW,0.0,0.4,0.4,0,13,13.0,1.0,2023-02-26,2023-03-05,1.0
1,9X,HNLLNY,,USA-USA,2023-08,ADD,8.6,8.9,0.3,77,89,12.0,0.2,2023-02-26,2023-03-05,2.0
1,9X,HNLMKK,,USA-USA,2023-08,ADD,10.7,13.5,2.8,96,191,95.0,1.0,2023-02-26,2023-03-05,2.0
2,9X,TOTAL,,,2023-08,ADD,-,-,-,-,-,120.0,0.7,2023-02-26,2023-03-05,
1,9X,LNYMKK,,USA-USA,2023-09,NEW,0.0,0.3,0.3,0,12,12.0,1.0,2023-02-26,2023-03-05,1.0
1,9X,HNLLNY,,USA-USA,2023-09,ADD,8.5,8.9,0.3,77,89,12.0,0.2,2023-02-26,2023-03-05,2.0
1,9X,HNLMKK,,USA-USA,2023-09,ADD,11.3,14.1,2.8,101,197,96.0,1.0,2023-02-26,2023-03-05,2.0
2,9X,TOTAL,,,2023-09,ADD,-,-,-,-,-,120.0,0.7,2023-02-26,2023-03-05,
1,9X,LNYMKK,,USA-USA,2023-10,NEW,0.0,0.3,0.3,0,12,12.0,1.0,2023-02-26,2023-03-05,1.0
1,9X,HNLLNY,,USA-USA,2023-10,ADD,8.6,9,0.4,77,90,13.0,0.2,2023-02-26,2023-03-05,2.0
1,9X,HNLMKK,,USA-USA,2023-10,ADD,11.4,14.2,2.8,102,197,95.0,0.9,2023-02-26,2023-03-05,2.0
2,9X,TOTAL,,,2023-10,ADD,-,-,-,-,-,120.0,0.7,2023-02-26,2023-03-05,
3,9X,,,,2049-12,,,,,,,,,,,
1,AA,MEXMIA,Y,LOC-USA,2023-04,RDC,3,2.8,-0.2,499,470,-29.0,-0.1,2023-02-26,2023-03-05,3.0
1,AA,BDLDCA,,USA-USA,2023-04,RDC,4.6,4.6,0.0,336,335,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,BGRDCA,,USA-USA,2023-04,RDC,2.8,2.8,0.0,200,199,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,CLTDCA,,USA-USA,2023-04,RDC,9,9,0.0,1180,1179,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,CLTMHT,,USA-USA,2023-04,RDC,2,2,0.0,152,151,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,CLTSHV,,USA-USA,2023-04,RDC,2,2,0.0,152,151,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DABDCA,,USA-USA,2023-04,RDC,0.2,0.2,0.0,13,12,-1.0,-0.1,2023-02-26,2023-03-05,3.0
1,AA,DAYDCA,,USA-USA,2023-04,RDC,2.7,2.6,0.0,193,191,-2.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DAYDFW,,USA-USA,2023-04,RDC,2.8,2.8,0.0,213,212,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCAMHT,,USA-USA,2023-04,RDC,2.8,2.8,0.0,209,208,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCAMYR,,USA-USA,2023-04,RDC,1,1,0.0,70,69,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCAPHL,,USA-USA,2023-04,RDC,3.8,3.8,0.0,277,275,-2.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCAPVD,,USA-USA,2023-04,RDC,5.4,5.4,0.0,447,446,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCAROC,,USA-USA,2023-04,RDC,2.8,2.8,0.0,210,209,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCASAV,,USA-USA,2023-04,RDC,2,2,0.0,152,151,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DCASTL,,USA-USA,2023-04,RDC,2.7,2.7,0.0,248,247,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWIAH,,USA-USA,2023-04,RDC,7.5,7.4,-0.1,1156,1145,-11.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWMFE,,USA-USA,2023-04,RDC,4.3,4.3,0.0,691,685,-6.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWSDF,,USA-USA,2023-04,RDC,5.8,5.8,0.0,630,629,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWSHV,,USA-USA,2023-04,RDC,6.5,6.5,0.0,495,494,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,MYRPHL,,USA-USA,2023-04,RDC,2.5,2.5,0.0,183,182,-1.0,0.0,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-04,RDC,-,-,-,-,-,-66.0,0.0,2023-02-26,2023-03-05,
1,AA,MEXMIA,Y,LOC-USA,2023-05,ADD,3,3,0.0,504,514,10.0,0.0,2023-02-26,2023-03-05,2.0
1,AA,COUDFW,,USA-USA,2023-05,ADD,2.1,2.8,0.7,151,199,48.0,0.3,2023-02-26,2023-03-05,2.0
1,AA,CRPDFW,,USA-USA,2023-05,ADD,5.2,6.1,0.9,389,449,60.0,0.2,2023-02-26,2023-03-05,2.0
1,AA,DFWECP,,USA-USA,2023-05,ADD,2.1,2.8,0.7,285,332,47.0,0.2,2023-02-26,2023-03-05,2.0
1,AA,DFWEVV,,USA-USA,2023-05,ADD,2.1,2.8,0.7,162,209,47.0,0.3,2023-02-26,2023-03-05,2.0
1,AA,DFWGPT,,USA-USA,2023-05,ADD,2,2.7,0.7,152,204,52.0,0.3,2023-02-26,2023-03-05,2.0
1,AA,DFWHRL,,USA-USA,2023-05,ADD,3.2,3.7,0.5,242,276,34.0,0.1,2023-02-26,2023-03-05,2.0
1,AA,DFWMAF,,USA-USA,2023-05,ADD,5.1,6,0.9,389,454,65.0,0.2,2023-02-26,2023-03-05,2.0
1,AA,DFWTLH,,USA-USA,2023-05,ADD,2.1,2.8,0.7,159,211,52.0,0.3,2023-02-26,2023-03-05,2.0
1,AA,OMAPHX,,USA-USA,2023-05,ADD,1.2,2,0.9,179,244,65.0,0.4,2023-02-26,2023-03-05,2.0
1,AA,PHLPVD,,USA-USA,2023-05,ADD,3,3,0.0,183,193,10.0,0.1,2023-02-26,2023-03-05,2.0
1,AA,PHXSTL,,USA-USA,2023-05,ADD,1.1,2,0.9,179,245,66.0,0.4,2023-02-26,2023-03-05,2.0
1,AA,AEXDFW,,USA-USA,2023-05,RDC,2.9,2.8,0.0,201,199,-2.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,BURPHX,,USA-USA,2023-05,RDC,2.8,2.8,0.0,326,325,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWGGG,,USA-USA,2023-05,RDC,2,2,0.0,140,139,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWGRK,,USA-USA,2023-05,RDC,4.7,4.7,0.0,354,348,-6.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWHSV,,USA-USA,2023-05,RDC,5.1,5.1,0.0,390,385,-5.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,DFWSPS,,USA-USA,2023-05,RDC,2,2,0.0,140,139,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,EWRMIA,,USA-USA,2023-05,RDC,4,4,0.0,711,701,-10.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,INDPHL,,USA-USA,2023-05,RDC,2.9,2.9,0.0,328,318,-10.0,0.0,2023-02-26,2023-03-05,3.0
1,AA,MRYPHX,,USA-USA,2023-05,RDC,2.8,2.8,0.0,253,252,-1.0,0.0,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-05,ADD,-,-,-,-,-,519.0,0.1,2023-02-26,2023-03-05,
1,AA,DFWOGG,,USA-USA,2023-06,ADD,1,1,0.0,285,289,4.0,0.0,2023-02-26,2023-03-05,2.0
1,AA,DFWSEA,,USA-USA,2023-06,ADD,6.2,7.2,1,1190,1350,160.0,0.1,2023-02-26,2023-03-05,2.0
1,AA,MGAMIA,,CAM-USA,2023-06,RDC,2,1,-1,320,160,-160.0,-0.5,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-06,ADD,-,-,-,-,-,4.0,0.0,2023-02-26,2023-03-05,
